Date,SNP500_Price_USD
07-01-25,"6,307.67"
06-01-25,"6,204.95"
05-01-25,"5,911.69"
04-01-25,"5,569.06"
03-01-25,"5,611.85"
02-01-25,"5,954.50"
01-01-25,"6,040.53"
12-01-24,"5,881.63"
11-01-24,"6,032.38"
10-01-24,"5,705.45"
09-01-24,"5,762.48"
08-01-24,"5,648.40"
07-01-24,"5,522.30"
06-01-24,"5,460.48"
05-01-24,"5,277.51"
04-01-24,"5,035.69"
03-01-24,"5,254.35"
02-01-24,"5,096.27"
01-01-24,"4,845.65"
12-01-23,"4,769.83"
11-01-23,"4,567.80"
10-01-23,"4,193.80"
09-01-23,"4,288.05"
08-01-23,"4,507.66"
07-01-23,"4,588.96"
06-01-23,"4,450.38"
05-01-23,"4,179.83"
04-01-23,"4,169.48"
03-01-23,"4,109.31"
02-01-23,"3,970.15"
01-01-23,"4,076.60"
12-01-22,"3,839.50"
11-01-22,"4,080.11"
10-01-22,"3,871.98"
09-01-22,"3,585.62"
08-01-22,"3,955.00"
07-01-22,"4,130.29"
06-01-22,"3,785.38"
05-01-22,"4,132.15"
04-01-22,"4,131.93"
03-01-22,"4,530.41"
02-01-22,"4,373.94"
01-01-22,"4,515.55"
12-01-21,"4,766.18"
11-01-21,"4,567.00"
10-01-21,"4,605.38"
09-01-21,"4,307.54"
08-01-21,"4,522.68"
07-01-21,"4,395.26"
06-01-21,"4,297.50"
05-01-21,"4,204.11"
04-01-21,"4,181.17"
03-01-21,"3,972.89"
02-01-21,"3,811.15"
01-01-21,"3,714.24"
12-01-20,"3,756.07"
11-01-20,"3,621.63"
10-01-20,"3,269.96"
09-01-20,"3,363.00"
08-01-20,"3,500.31"
07-01-20,"3,271.12"
06-01-20,"3,100.29"
05-01-20,"3,044.31"
04-01-20,"2,912.43"
03-01-20,"2,584.59"
02-01-20,"2,954.22"
01-01-20,"3,225.52"
12-01-19,"3,230.78"
11-01-19,"3,140.98"
10-01-19,"3,037.56"
09-01-19,"2,976.74"
08-01-19,"2,926.46"
07-01-19,"2,980.38"
06-01-19,"2,941.76"
05-01-19,"2,752.06"
04-01-19,"2,945.83"
03-01-19,"2,834.40"
02-01-19,"2,784.49"
01-01-19,"2,704.10"
12-01-18,"2,506.85"
11-01-18,"2,760.17"
10-01-18,"2,711.74"
09-01-18,"2,913.98"
08-01-18,"2,901.52"
07-01-18,"2,816.29"
06-01-18,"2,718.37"
05-01-18,"2,705.27"
04-01-18,"2,648.05"
03-01-18,"2,640.87"
02-01-18,"2,713.83"
01-01-18,"2,823.81"
12-01-17,"2,673.61"
11-01-17,"2,647.58"
10-01-17,"2,575.26"
09-01-17,"2,519.36"
08-01-17,"2,471.65"
07-01-17,"2,470.30"
06-01-17,"2,423.41"
05-01-17,"2,411.80"
04-01-17,"2,384.20"
03-01-17,"2,362.72"
02-01-17,"2,363.64"
01-01-17,"2,278.87"
12-01-16,"2,238.83"
11-01-16,"2,198.81"
10-01-16,"2,126.15"
09-01-16,"2,168.27"
08-01-16,"2,170.95"
07-01-16,"2,173.60"
06-01-16,"2,098.86"
05-01-16,"2,096.96"
04-01-16,"2,065.30"
03-01-16,"2,059.74"
02-01-16,"1,932.23"
01-01-16,"1,940.24"
12-01-15,"2,043.94"
11-01-15,"2,080.41"
10-01-15,"2,079.36"
09-01-15,"1,920.03"
08-01-15,"1,972.18"
07-01-15,"2,103.84"
06-01-15,"2,063.11"
05-01-15,"2,107.39"
04-01-15,"2,085.51"
03-01-15,"2,067.89"
02-01-15,"2,104.50"
01-01-15,"1,994.99"
12-01-14,"2,058.90"
11-01-14,"2,067.56"
10-01-14,"2,018.05"
09-01-14,"1,972.29"
08-01-14,"2,003.37"
07-01-14,"1,930.67"
06-01-14,"1,960.23"
05-01-14,"1,923.57"
04-01-14,"1,883.95"
03-01-14,"1,872.34"
02-01-14,"1,859.45"
01-01-14,"1,782.60"
12-01-13,"1,848.40"
11-01-13,"1,805.80"
10-01-13,"1,756.50"
09-01-13,"1,681.50"
08-01-13,"1,633.00"
07-01-13,"1,685.70"
06-01-13,"1,606.30"
05-01-13,"1,630.70"
04-01-13,"1,597.60"
03-01-13,"1,569.20"
02-01-13,"1,514.70"
01-01-13,"1,498.10"
12-01-12,"1,426.20"
11-01-12,"1,416.20"
10-01-12,"1,412.20"
09-01-12,"1,440.70"
08-01-12,"1,406.60"
07-01-12,"1,379.30"
06-01-12,"1,362.20"
05-01-12,"1,310.30"
04-01-12,"1,397.90"
03-01-12,"1,408.50"
02-01-12,"1,365.70"
01-01-12,"1,312.40"
