Date,Open,High,Low,Close,Adj Close
1/7/25,156.4,0,0,155.31,155.31
1/6/25,154.65,0,0,156.29,156.29
1/5/25,155.15,0,0,154.85,154.85
1/4/25,154.33,0,0,155.39,155.39
1/3/25,154.61,0,0,153.97,153.97
1/2/25,152.82,0,0,154.68,154.68
1/1/25,151.86,0,0,152.53,152.53
1/12/24,153.81,0,0,151.86,151.86
1/11/24,151.28,0,0,153.68,153.68
1/10/24,154.69,0,0,151.68,151.68
1/9/24,152.26,0,0,154.21,154.21
1/8/24,151.34,0,0,152.38,152.38
1/7/24,147.13,0,0,150.79,150.79
1/6/24,147.28,0,0,147.76,147.76
1/5/24,145.53,0,0,146.62,146.62
1/4/24,147.49,0,0,145.3,145.3
1/3/24,147.08,0,0,148.06,148.06
1/2/24,148.73,0,0,146.75,146.75
1/1/24,148.11,0,0,148.17,148.17
1/12/23,144.67,0,0,148.61,148.61
1/11/23,139.56,0,0,143.79,143.79
1/10/23,139.2,0,0,138.78,138.78
1/9/23,142.39,0,0,139.9,139.9
1/8/23,142.62,0,0,142.86,142.86
1/7/23,143.03,0,0,143.25,143.25
1/6/23,143.86,0,0,143.25,143.25
1/5/23,143.77,0,0,143.61,143.61
1/4/23,144.4,0,0,144.5,144.5
1/3/23,140.08,0,0,143.91,143.91
1/2/23,144.06,0,0,140.66,140.66
1/1/23,140.8,0,0,143.56,143.56
1/12/22,143.44,0,0,139.98,139.98
1/11/22,138.61,0,0,142.3,142.3
1/10/22,140.3,0,0,138.4,138.4
1/9/22,144.05,0,0,139.16,139.16
1/8/22,150.25,0,0,144.79,144.79
1/7/22,146.8,0,0,149.67,149.67
1/6/22,147.94,0,0,145.68,145.68
1/5/22,148.09,0,0,148.38,148.38
1/4/22,153.29,0,0,148.67,148.67
1/3/22,158.93,0,0,153.63,153.63
1/2/22,159.82,0,0,157.63,157.63
1/1/22,162.27,0,0,159.97,159.97
1/12/21,163.92,0,0,162.89,162.89
1/11/21,162.57,0,0,163.86,163.86
1/10/21,163.52,0,0,162.64,162.64
1/9/21,164.95,0,0,163.17,163.17
1/8/21,165.68,0,0,164.95,164.95
1/7/21,163.3,0,0,165.36,165.36
1/6/21,162.24,0,0,163.29,163.29
1/5/21,162.16,0,0,162.36,162.36
1/4/21,162.07,0,0,162.03,162.03
1/3/21,162.87,0,0,161.66,161.66
1/2/21,165.47,0,0,162.61,162.61
1/1/21,166.52,0,0,165.39,165.39
1/12/20,165.79,0,0,166.46,166.46
1/11/20,165.21,0,0,166.16,166.16
1/10/20,165.22,0,0,165.03,165.03
1/9/20,164.58,0,0,165.09,165.09
1/8/20,165.59,0,0,164.27,164.27
1/7/20,163.48,0,0,165.66,165.66
1/6/20,162.46,0,0,163.7,163.7
1/5/20,161.99,0,0,162.6,162.6
1/4/20,159.69,0,0,161.93,161.93
1/3/20,162.54,0,0,159.49,159.49
1/2/20,160.71,0,0,162.6,162.6
1/1/20,158.07,0,0,160.79,160.79
1/12/19,157.9,0,0,157.73,157.73
1/11/19,158.69,0,0,158.41,158.41
1/10/19,159.28,0,0,158.79,158.79
1/9/19,160.33,0,0,159.26,159.26
1/8/19,157.35,0,0,160.3,160.3
1/7/19,155.81,0,0,156.77,156.77
1/6/19,154.01,0,0,155.64,155.64
1/5/19,151.71,0,0,153.7,153.7
1/4/19,151.56,0,0,151.9,151.9
1/3/19,149.2,0,0,152.01,152.01
1/2/19,149.25,0,0,149.39,149.39
1/1/19,148.42,0,0,149.45,149.45
1/12/18,146.58,0,0,147.91,147.91
1/11/18,145.85,0,0,146.34,146.34
1/10/18,146.18,0,0,145.85,145.85
1/9/18,146.89,0,0,146.36,146.36
1/8/18,146.51,0,0,147.09,147.09
1/7/18,147.03,0,0,146.85,146.85
1/6/18,146.73,0,0,146.99,146.99
1/5/18,146.41,0,0,146.91,146.91
1/4/18,147.32,0,0,146.7,146.7
1/3/18,146.79,0,0,147.26,147.26
1/2/18,146.64,0,0,146.55,146.55
1/1/18,147.98,0,0,147.13,147.13
1/12/17,148.63,0,0,148.07,148.07
1/11/17,148.18,0,0,148.23,148.23
1/10/17,147.62,0,0,148.12,148.12
1/9/17,148.03,0,0,147.36,147.36
1/8/17,147.35,0,0,148.21,148.21
1/7/17,146.52,0,0,147.03,147.03
1/6/17,147.11,0,0,146.69,146.69
1/5/17,146.32,0,0,147.19,147.19
1/4/17,145.91,0,0,146.43,146.43
1/3/17,145.21,0,0,145.55,145.55
1/2/17,144.32,0,0,145.77,145.77
1/1/17,144.97,0,0,144.56,144.56
1/12/16,144.51,0,0,145.17,145.17
1/11/16,147.46,0,0,144.89,144.89
1/10/16,149.25,0,0,147.58,147.58
1/9/16,149.4,0,0,149.39,149.39
1/8/16,149.4,0,0,149.51,149.51
1/7/16,149.09,0,0,149.62,149.62
1/6/16,145.68,0,0,148.67,148.67
1/5/16,145.04,0,0,145.58,145.58
1/4/16,145.03,0,0,145.05,145.05
1/3/16,143.41,0,0,144.89,144.89
1/2/16,142.22,0,0,143.66,143.66
1/1/16,140.54,0,0,142.33,142.33
1/12/15,141.08,0,0,140.24,140.24
1/11/15,140.47,0,0,140.78,140.78
1/10/15,140.35,0,0,140.69,140.69
1/9/15,139.33,0,0,140.18,140.18
