Date,Open,High,Low,Close
1/7/25,"10,730.00","10,910.19","10,690.00","10,878.00"
1/6/25,"10,296.00","10,750.00","10,279.54","10,719.00"
1/5/25,"9,841.00","10,473.00","9,790.00","10,335.00"
1/4/25,"9,794.00","9,875.00","8,445.16","9,681.50"
1/3/25,"10,337.00","10,388.00","9,640.00","9,727.00"
1/2/25,"10,216.00","10,621.10","10,177.00","10,218.00"
1/1/25,"10,102.00","10,500.00","9,884.00","10,489.50"
1/12/24,"10,289.00","10,394.00","9,890.40","10,102.00"
1/11/24,"9,826.00","10,267.00","9,774.00","10,250.00"
1/10/24,"9,864.00","10,046.82","9,739.00","9,792.00"
1/9/24,"9,688.00","9,909.00","9,323.00","9,820.00"
1/8/24,"9,513.00","9,708.97","8,746.00","9,665.00"
1/7/24,"9,481.00","9,745.00","9,317.00","9,549.00"
1/6/24,"9,270.00","9,515.39","9,161.00","9,488.00"
1/5/24,"8,838.00","9,326.06","8,798.00","9,123.00"
1/4/24,"9,145.00","9,150.00","8,706.55","8,901.50"
1/3/24,"8,883.00","9,158.00","8,850.00","9,145.00"
1/2/24,"8,429.00","8,869.00","8,429.00","8,831.00"
1/1/24,"8,327.00","8,584.00","8,160.00","8,506.00"
1/12/23,"7,987.00","8,343.00","7,960.44","8,327.00"
1/11/23,"7,400.00","7,988.00","7,377.00","7,952.00"
1/10/23,"7,647.00","7,750.60","7,303.00","7,366.50"
1/9/23,"7,883.00","7,951.00","7,541.00","7,621.00"
1/8/23,"8,000.00","8,005.00","7,596.00","7,902.00"
1/7/23,"7,775.00","8,030.62","7,638.00","8,021.00"
1/6/23,"7,406.00","7,820.00","7,406.00","7,793.00"
1/5/23,"7,383.50","7,501.00","7,240.00","7,366.00"
1/4/23,"7,302.00","7,426.00","7,192.00","7,383.50"
1/3/23,"7,131.00","7,303.00","6,871.00","7,267.50"
1/2/23,"7,245.00","7,418.00","7,071.00","7,147.50"
1/1/23,"6,802.50","7,261.00","6,793.00","7,210.50"
1/12/22,"7,194.00","7,244.00","6,746.00","6,802.50"
1/11/22,"6,882.00","7,141.00","6,595.00","7,027.00"
1/10/22,"6,369.00","6,844.00","6,228.00","6,828.00"
1/9/22,"6,912.00","7,231.76","6,338.00","6,481.00"
1/8/22,"7,185.00","7,492.00","6,992.00","6,997.00"
1/7/22,"6,642.00","7,205.00","6,600.00","7,183.50"
1/6/22,"7,312.00","7,365.00","6,505.00","6,697.50"
1/5/22,"7,420.50","7,508.66","6,846.00","7,266.50"
1/4/22,"7,891.00","7,960.00","7,316.00","7,420.50"
1/3/22,"7,664.00","8,008.08","7,187.72","7,943.00"
1/2/22,"7,860.00","7,991.00","7,214.00","7,652.50"
1/1/22,"8,257.00","8,348.00","7,476.00","7,757.50"
1/12/21,"8,013.00","8,335.00","7,850.00","8,257.00"
1/11/21,"8,091.00","8,287.00","7,965.00","7,970.50"
1/10/21,"7,597.00","8,076.00","7,540.00","8,061.00"
1/9/21,"7,991.00","8,054.00","7,697.68","7,711.00"
1/8/21,"7,794.00","7,992.00","7,705.00","7,958.00"
1/7/21,"7,628.00","7,797.00","7,469.00","7,746.50"
1/6/21,"7,442.00","7,631.56","7,426.38","7,605.50"
1/5/21,"7,364.00","7,464.35","7,137.00","7,454.00"
1/4/21,"7,112.00","7,431.00","7,095.55","7,364.00"
