Date,Open,High,Low,Close
1/7/25,"14,148.00","14,441.00","14,098.00","14,371.00"
1/6/25,"13,403.00","14,159.00","1,409.80","14,130.00"
1/5/25,"12,822.00","13,684.00","12,713.00","13,442.00"
1/4/25,"12,776.00","12,901.60","10,985.00","12,577.00"
1/3/25,"13,554.00","13,616.00","12,530.00","12,648.00"
1/2/25,"13,500.00","13,954.00","13,305.00","13,364.50"
1/1/25,"13,456.00","13,921.00","13,101.00","13,884.00"
1/12/24,"13,667.00","13,837.00","13,160.00","13,456.00"
1/11/24,"12,958.00","13,686.00","12,940.54","13,684.00"
1/10/24,"13,042.00","13,340.00","12,857.00","12,985.00"
1/9/24,"12,760.00","13,078.00","12,251.00","12,994.50"
1/8/24,"12,556.00","12,783.00","11,525.00","12,680.00"
1/7/24,"12,416.00","12,820.00","12,219.80","12,525.00"
1/6/24,"11,983.00","12,505.00","11,882.33","12,451.50"
1/5/24,"11,371.00","12,098.48","11,325.10","11,785.00"
1/4/24,"11,875.00","11,912.00","11,227.00","11,496.00"
1/3/24,"11,531.00","11,895.00","11,493.00","11,875.00"
1/2/24,"10,975.00","11,533.00","10,958.00","11,469.00"
1/1/24,"10,796.00","11,120.52","10,525.00","11,022.00"
1/12/23,"10,301.00","10,811.00","10,224.00","10,796.00"
1/11/23,"9,465.00","10,333.00","9,438.00","10,258.00"
1/10/23,"9,748.00","9,940.66","9,336.00","9,425.00"
1/9/23,"10,205.00","10,311.00","9,638.00","9,752.50"
1/8/23,"10,375.00","10,375.00","9,816.00","10,241.00"
1/7/23,"10,065.00","10,410.00","9,908.00","10,362.50"
1/6/23,"9,484.00","10,057.00","9,442.30","10,047.00"
1/5/23,"9,391.00","9,578.00","9,160.00","9,430.00"
1/4/23,"9,275.00","9,436.00","9,193.00","9,391.00"
1/3/23,"9,003.00","9,399.00","8,624.00","9,238.00"
1/2/23,"9,201.00","9,463.00","8,919.00","9,013.50"
1/1/23,"8,672.50","9,201.00","8,500.00","9,147.00"
1/12/22,"9,230.00","9,317.00","8,450.00","8,672.50"
1/11/22,"8,834.00","9,152.00","8,382.00","8,961.00"
1/10/22,"8,165.00","8,823.00","7,929.00","8,791.00"
1/9/22,"8,962.00","9,442.00","8,137.00","8,331.50"
