,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2005-01-01,4852.31,627.2703,2065.037821,5832.1542185
2005-02-01,4968.5,626.11272,2106.264984,5840.9485
2005-03-01,4894.37,624.65546,2095.925207,5764.4613
2005-04-01,4801.68,606.1632,1976.3524499999999,5511.05534
2005-05-01,4963.97,655.5633,2083.54124,5716.103471
2005-06-01,5113.16,665.10279,2148.812116,5833.707436000001
2005-07-01,5282.3,702.5066400000001,2296.289853,6020.007640000001
2005-08-01,5296.92,676.53432,2234.0574100000003,6221.69632
2005-09-01,5477.71,696.6067199999999,2338.24382,6780.3628499999995
2005-10-01,5317.28,681.8343,2248.073565,6603.23445
2005-11-01,5423.17,722.4609,2349.178205,7175.8123749999995
2005-12-01,5618.76,725.1374699999999,2462.3038399999996,7934.0737035
2006-01-01,5760.26,719.67222,2522.340453,7983.58869
2006-02-01,5791.54,730.2551400000001,2565.156996,7980.3640035
2006-03-01,5964.57,744.89844,2687.2129019999998,8340.467774
2006-04-01,6023.14,717.5535,2656.05883,8134.4325645
2006-05-01,5723.81,679.1224699999999,2491.097733,7346.98175
2006-06-01,5833.42,687.4322400000001,2525.782424,7332.399622
2006-07-01,5928.33,683.54518,2523.393145,7216.784589
2006-08-01,5906.13,684.62538,2560.9698799999996,7223.797138
2006-09-01,5960.81,713.58436,2639.1206879999995,7288.859781
2006-10-01,6129.22,722.2951800000001,2679.2112,7351.846536999999
2006-11-01,6048.85,712.62528,2686.595574,7150.940602000001
2006-12-01,6220.81,724.18398,2776.83956,7386.435904000001
2007-01-01,6203.09,732.18762,2772.879144,7333.195726999999
2007-02-01,6171.47,716.20188,2754.71888,7566.250776
2007-03-01,6308.03,721.95929,2837.6650609999997,7457.027827500001
2007-04-01,6449.21,741.49648,2997.77205,7285.551667000001
2007-05-01,6621.45,772.953,3065.4431449999997,7414.8611
2007-06-01,6607.9,747.89175,3026.5539570000005,7336.059702
2007-07-01,6360.11,717.31737,2907.9119219999993,7176.400684499999
2007-08-01,6303.3,731.2514,2904.4109280000002,7096.541247
2007-09-01,6466.79,745.8417999999999,3054.9282120000003,7143.150379499999
2007-10-01,6721.57,744.33176,3123.546903,6972.0597765
